Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone
1,Plaza Hollywood,Starbucks,34638-85784,29554570,LS,"Level 2, Plaza Hollywood, Diamond Hill,, Kowloon","Level 2, Plaza Hollywood, Diamond Hill,",Kowloon,,Hong Kong,91,CN,,"(22.3407001495361, 114.201690673828)",22.34070015,114.2016907,China Standard Time,480,GMT+08:00 Asia/Beijing
6,Exchange Square,Starbucks,34601-20281,21473739,LS,"Shops 308-310, 3/F.,, Exchange Square Podium, Central, HK.","Shops 308-310, 3/F.,","Exchange Square Podium, Central, HK.",,Hong Kong,91,CN,,"(22.2839393615723, 114.158187866211)",22.28393936,114.1581879,China Standard Time,480,GMT+08:00 Asia/Beijing
8,Telford Plaza,Starbucks,34610-28207,27541323,LS,"Shop Unit G1A, Atrium A, Telford Plaza I, , Kowloon Bay, Kowloon","Shop Unit G1A, Atrium A, Telford Plaza I",", Kowloon Bay, Kowloon",,Kowloon,91,CN,,"(22.3228702545166, 114.213439941406)",22.32287025,114.2134399,China Standard Time,480,GMT+08:00 Asia/Beijing
13,Hong Kong Station,Starbucks,34622-64463,25375216,LS,"Concession HOK 3a & b, LAR Hong Kong Station",Concession HOK 3a & b,LAR Hong Kong Station,,Hong Kong,91,CN,,"(22.2844505310059, 114.158462524414)",22.28445053,114.1584625,China Standard Time,480,GMT+08:00 Asia/Beijing
17,"Pacific Place, Central",Starbucks,34609-22927,29184762,LS,"Shop 131, Level 1, Pacific Place, 88 Queensway, HK","Shop 131, Level 1, Pacific Place","88 Queensway, HK",,Hong Kong,91,CN,,"(22.2776565551758, 114.164619445801)",22.27765656,114.1646194,China Standard Time,480,GMT+08:00 Asia/Beijing
23,Three Garden Road,Starbucks,34616-51681,25091007,LS,"Shop 3, Citibank Plaza,3 Garden Road, Central, HK","Shop 3, Citibank Plaza,3 Garden Road","Central, HK",,Hong Kong,91,CN,,"(22.2785205841064, 114.160873413086)",22.27852058,114.1608734,China Standard Time,480,GMT+08:00 Asia/Beijing
25,MTR Central,Starbucks,34630-69462,28400565,LS,"Kiosk Nos. CEN K4-K5, Transfer Concourse, , MTR Central Station","Kiosk Nos. CEN K4-K5, Transfer Concourse",", MTR Central Station",,Hong Kong,91,CN,,"(22.2811298370361, 114.159461975098)",22.28112984,114.159462,China Standard Time,480,GMT+08:00 Asia/Beijing
27,Wan Chai Tower,Starbucks,34615-55880,28240568,LS,"G/F, Wanchai Tower, 12 Harbour Road, Wanchai, HK","G/F, Wanchai Tower, 12 Harbour Road","Wanchai, HK",,Hong Kong,91,CN,,"(22.2800197601318, 114.17261505127)",22.28001976,114.1726151,China Standard Time,480,GMT+08:00 Asia/Beijing
34,Shun Tak Centre,Starbucks,34634-82422,25496508,LS,"Shop unit 226-227, 2/F, Shun Tak Centre,, Nos.168-200 Connaught Road Central","Shop unit 226-227, 2/F, Shun Tak Centre,",Nos.168-200 Connaught Road Central,,Hong Kong,91,CN,,"(22.2878608703613, 114.152206420898)",22.28786087,114.1522064,China Standard Time,480,GMT+08:00 Asia/Beijing
37,Sun Hung Kai Centre,Starbucks,34605-28027,28457367,LS,"Shop G12-13, G/F. Sun Hung Kai Centre, 30 Harbour Road, Wanchai","Shop G12-13, G/F. Sun Hung Kai Centre","30 Harbour Road, Wanchai",,Wan Chai,91,CN,,"(22.2805519104004, 114.176803588867)",22.28055191,114.1768036,China Standard Time,480,GMT+08:00 Asia/Beijing
38,Lamcy Plaza,Starbucks,34247-62179,04-3347995,LS,"Oud Meena Road, First floor",Oud Meena Road,First floor,,Dubai,DU,AE,,"(25.2343463897705, 55.3084297180176)",25.23434639,55.30842972,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
39,Wafi Mall,Starbucks,34249-62099,04-3243641,LS,"Oud Mina, Shop # 212, Wafi Mall",Oud Mina,"Shop # 212, Wafi Mall",,Dubai,DU,AE,,"(25.2494506835938, 55.2799186706543)",25.24945068,55.27991867,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
41,Al Gurrair Mall,Starbucks,34219-17920,04-2212559,LS,Deira- Riqqa Street,Deira- Riqqa Street,,,Dubai,DU,AE,,"(25.2668266296387, 55.3170433044434)",25.26682663,55.3170433,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
42,Umm Sequeim,Starbucks,34291-80114,43952230,LS,"Jumeirah, Near Spinney's",Jumeirah,Near Spinney's,,Dubai,DU,AE,,"(25.1678905487061, 55.2284088134766)",25.16789055,55.22840881,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
44,Jebel Ali,Starbucks,34292-76574,04-8816680,LS,"Jebel Ali, Near Gate No. 4",Jebel Ali,Near Gate No. 4,,Dubai,DU,AE,,"(24.9915599822998, 55.0934791564941)",24.99155998,55.09347916,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
45,Emirates Tower,Starbucks,34211-17922,04-3303363,LS,Sheikh Zayed Road,Sheikh Zayed Road,,,Dubai,DU,AE,,"(25.2148704528809, 55.2826499938965)",25.21487045,55.28264999,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
48,Palm Strip,Starbucks,34210-16835,04-3453808,LS,Jumeira 1,Jumeira 1,,,Dubai,DU,AE,,"(25.2327899932861, 55.2636985778809)",25.23278999,55.26369858,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
49,Dubai Marina,Starbucks,34315-87671,04-3675468,LS,Sheik Zayed,Sheik Zayed,,,Dubai,DU,AE,,"(25.0842437744141, 55.150089263916)",25.08424377,55.15008926,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
50,Marina Mall,Starbucks,34262-62540,02-6815883,LS,Marina Mall,Marina Mall,,,Abu Dhabi,AZ,AE,,"(24.4709606170654, 54.3222885131836)",24.47096062,54.32228851,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
51,Abu Dhabi Mall,Starbucks,34227-33225,02-6454914,LS,"Al Salam Street, Tourist Club Area","Al Salam Street, Tourist Club Area",,,Abu Dhabi,AZ,AE,,"(24.4993896484375, 54.3701515197754)",24.49938965,54.37015152,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
52,Hamdan Street,Starbucks,34260-17877,02-6261001,LS,Hamdan Street,Hamdan Street,,,Abu Dhabi,AZ,AE,,"(24.2120094299316, 55.6228904724121)",24.21200943,55.62289047,Arabian Standard Time,240,GMT+04:00 Asia/Muscat
55,Ajman City Center,Starbucks,34236-44282,06-7482923,LS,"opposite to Etisalat Building, Ground floor",opposite to Etisalat Building,Ground floor,,Ajman,AJ,AE,,"(25.4016494750977, 55.4778709411621)",25.40164948,55.47787094,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
60,Mercato Town Centre,Starbucks,34284-65720,04-3449611,LS,Jumeira Road,Jumeira Road,,,Dubai,DU,AE,,"(25.2168598175049, 55.2535247802734)",25.21685982,55.25352478,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
61,Deira City Center Mall,Starbucks,34209-17918,42958543,LS,Deira,Deira,,,Dubai,DU,AE,,"(25.2541198730469, 55.3313217163086)",25.25411987,55.33132172,Egypt Standard Time,120,GMT+04:00 Asia/Dubai
62,Bukhatir Tower,Starbucks,34253-62541,06-5560572,LS,Sharjah Buheira Corniche,Sharjah Buheira Corniche,,,Sharjah,SH,AE,,"(25.3342761993408, 55.375862121582)",25.3342762,55.37586212,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
63,Sahara Center,Starbucks,34259-54260,06-5315823,LS,Alnahda,Alnahda,,,Sharjah,SH,AE,,"(25.2982196807861, 55.3715591430664)",25.29821968,55.37155914,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
64,Mega Mall,Starbucks,34252-54259,06-5744316,LS,"Near Spinneys Round Bord, 1st floor",Near Spinneys Round Bord,1st floor,,Sharjah,SH,AE,,"(25.3450508117676, 55.3978996276855)",25.34505081,55.39789963,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
65,American University of Sharjah,Starbucks,34217-27108,06-5585722,LS,"Airport Road, Universities Complex",Airport Road,Universities Complex,,Sharjah,SH,AE,,"(25.2977695465088, 55.4841499328613)",25.29776955,55.48414993,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
70,Uptown Mirdif,Starbucks,31338-103600,42888102,LS,Mirdif,Mirdif,,,Dubai,DU,AE,,"(25.2254199981689, 55.4255218505859)",25.22542,55.42552185,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
71,Al Wahda Mall,Starbucks,31719-103601,24437197,LS,"11th Street, Ground Floor, Main Entrance",11th Street,"Ground Floor, Main Entrance",,Abu Dhabi,AZ,AE,,"(24.4713306427002, 54.3723411560059)",24.47133064,54.37234116,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
